PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
971,92764852,392739,CC1=C2C(=CC=C1)C(=C3C=CC=C(C3=N2)C(=O)NCCN(C)C)NC.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.53674e-06,9.53674e-06,6,63.636,5.6,50,-9.091,-36.364,,-18.182,54.545,63.636,,-54.545
972,26664798,93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,35.2273,35.2273,16,136.364,50,50,0,-4.545,9.091,-4.545,-4.545,40.909,109.091,136.364
973,99456817,717052,CC(C)NC(=O)C1=CC=C(O1)COC2=CC=CC3=CC=CC=C32,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.69696,9.69696,15,36.364,50,50,0,-9.091,9.091,9.091,4.545,-4.545,22.727,36.364
974,7970690,5310284,CCCC1=NC2=C(C(=N1)SC3CCCC3)C(=O)N(C(=O)N2C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,23.3767,23.3767,7,45.455,16,50,18.182,9.091,,9.091,36.364,18.182,45.455,27.273
975,85199148,4144089,CCOC1=CC=C(C=C1)C(=O)NCC(=O)N2CCN(CC2)CC3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0,0,11,-7.143,5.6,50,-7.143,,,0,3.571,-7.143,3.571,3.571
976,99356810,46902726,COC1=CC=C(C=C1)[C@H]2C[C@@H]([C@H](CN2CC3=CC=CS3)N4C=C(N=N4)C5=CC=C(C=C5)F)O,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,0.632,0,-100,12,-53.846,5.6,16,3.846,-3.846,-15.385,0,-15.385,-53.846,-38.462,
977,24792008,2904127,CN1CCN(CC1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)C3=CC=C(C=C3)OC,Active,54,,,=,3.74,5.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.74,5.427,1.387,8.081,-80,14,-65.385,16,16,3.846,15.385,7.692,-7.692,-7.692,-53.846,-65.385,
978,85198641,2539742,CC1=CC(=C(N1CC2=CC=CC=C2)C)C(=O)CN3C(=O)C(=O)N(C3=O)CC4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.49353,6.49353,7,27.273,0.0235,50,27.273,9.091,9.091,9.091,,0,0,-9.091
979,24833105,16196403,CC(C)C[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)N2CCN(CC2)C(=O)OC(C)(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,37.8261,37.8261,15,143.116,50,50,60.326,0,6.341,-2.174,6.522,-6.341,75.906,143.116
980,49643015,135411944,C1CCN(C1)CC(=O)N/N=C/C2=C(C=CC3=CC=CC=C32)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.6883,11.6883,14,36.364,50,50,4.545,4.545,9.091,9.091,-4.545,9.091,36.364,36.364
981,99495270,135438745,C1CCN(C1)C(=O)C(=O)N/N=C/C2=C(C=CC3=CC=CC=C32)O,Active,49,,,=,12.57,4.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.57,4.901,1.669,15.606,-100,12,-51.077,16,16,-7.846,8.154,30.769,40,27.692,-15.692,-51.077,
982,81066277,69594,C1=CC(=C(C=C1S(=O)(=O)N)S(=O)(=O)N)Cl,Active,59,,,=,1.16,5.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.16,5.936,3.208,-3.339,-53.339,15,-47.231,16,50,-24,-15.692,-0.154,-15.846,-39.077,-43.385,-47.231,-47.077
983,47194767,135533655,C1OC2=C(O1)C=C(C=C2)C(=O)N/N=C/C3=C(C(=CC(=C3)Br)Cl)O,Active,50,,,=,9.98,5.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.98,5.001,4,7.34,-42.66,15,-41.565,16,50,3.13,-0.174,12.87,-4,4.87,12.87,-41.565,-32.87
984,22403046,135521558,COC1=CC=CC(=C1O)/C=N/NC2=C(C(=NC=N2)Cl)N,Active,49,,,=,12.79,4.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.79,4.893,0.5,-0.033,-100,14,-68.966,50,50,2.363,-11.111,-15.39,-16.156,-34.163,-41.571,-45.275,-68.966
985,843813,646118,CCC1=C(N2C(=NC=N2)N=C1C)NCCC3=CC=C(C=C3)OC,Active,45,,,=,34.58,4.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.58,4.461,0.5,5.809,-100,14,-44,16,50,10.5,2.167,-6.333,-2.333,-36,-26.333,-44,-43
986,49649402,5300696,COC1=C(C=C(C=C1)CC(=O)NCC2=CC=C(C=C2)N3C=CC=C3)OC,Active,55,,,=,3.53,5.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.53,5.452,3.052,4.87,-125,11,-100,5.6,5.6,9.091,13.636,0,-4.545,-9.091,-100,,
987,47202647,670038,C1=CC=C(C=C1)CNC(=O)CC2=CC=C(C=C2)Br,Active,53,,,=,4.85,5.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.85,5.314,4,-6.914,-75.911,15,-83.333,16,50,-3.241,-11.574,-12.5,0,-4.167,-51.852,-83.333,-68.056
988,24806235,1250233,CC1=C(C=C(C=C1)N2C(=NN=N2)SCC(=O)NC(C3=CC=CC=C3)(C4=CC=CC=C4)C(=O)O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.849,2.849,13,18.519,50,50,-1.389,0,-11.111,2.778,2.778,6.944,-11.111,18.519
989,49649184,2790065,CC(=O)C1=CC(=CC=C1)NC2=C3CCCC3=NC4=CC=CC=C42.Cl,Active,56,,,=,2.69,5.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.69,5.570,2.23,-15.174,-90,6,-78.571,5.6,5.6,-14.286,-14.286,-14.286,-21.429,-35.714,-78.571,,
990,26662207,1851928,CC1=CC=C(C=C1)S(=O)(=O)N(CC2=CC3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C,Active,51,,,=,8.17,5.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.17,5.088,0.536,19.715,-100,15,-62.516,16,50,22.797,-2.107,19.349,-23.308,-9.004,-23.308,-62.516,-62.069
991,56463543,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,Active,45,,,=,29.27,4.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,29.27,4.534,1.667,-12.549,-100,13,-78.571,50,50,-10,-7.143,-20.476,-6.667,-10.714,-35.714,-31.429,-78.571
992,49674571,2125555,COC1=CC=CC(=C1)N=NC2=C(C3=C(C=CC=N3)C=C2)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,25,-100,12,-14.286,50,50,44.78,22.253,11.538,3.846,15.385,-7.143,,-14.286
993,4245974,3240375,CCCCN1C(=NC2=C1C(=O)NC(=O)N2C)CN3CCN(CC3)C4=CC(=CC=C4)Cl,Active,54,,,=,4.31,5.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.31,5.366,3.421,-10.998,-80,10,-60,5.6,5.6,-6,-14,-10.333,-16.667,-14.167,-60,,
994,47203027,1912931,C1=CC=C(C=C1)CN2C(=O)/C(=C\C3=CC=C(C=C3)O)/SC2=S,Active,47,,,=,20.5,4.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.5,4.688,2.809,-2.405,-200,16,-188.949,50,50,6.159,-1.993,-6.522,6.341,-6.341,-19.022,-65.58,-188.949
995,49665518,3091494,CN1C(=O)C2=C3C(=C(C=C2)N)C=CC=C3C1=O,Active,47,,,=,18.26,4.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.26,4.738,4,-25,-225,16,-237.565,50,50,-3.826,-3.826,-20.174,-8.87,-12.174,-37.913,-95.652,-237.565
996,24817838,1479790,C1CCC(CC1)NCC(=O)NN=C(C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.78513,-5.78513,11,-13.636,16,50,,-9.091,0,0,-9.091,-9.091,-13.636,9.091
997,49667464,720949,COC1=CC=CC=C1NC2=C3CCCC3=NC4=CC=CC=C42,Active,52,,,=,6.89,5.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.89,5.162,0.71,9.937,-100,7,-64.286,16,16,14.286,-7.143,14.286,-14.286,-21.429,-35.714,-64.286,
998,22402174,1014406,CC1=C(SC(=C1C(=O)N)NC(=S)NC(=O)CCC2=CC=CC=C2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-20.9536,-20.9536,15,-40.549,0.21,50,5.556,-1.341,-40.549,-37.101,-23.308,-20.69,-23.052,-27.012
999,56319017,16289168,CCOC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)CN3C(=O)C(=O)N(C3=O)CC(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-21.2121,-21.2121,15,-31.818,50,50,-18.182,-22.727,-18.182,-18.182,-18.182,-22.727,-18.182,-31.818
1000,24835975,2433703,CC1=CC=C(C=C1)CNC(=O)COC(=O)C2=CC=C(C=C2)S(=O)(=O)N(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.04081,2.04081,7,-7.143,1.8,50,7.143,0,,0,-7.143,7.143,7.143,0
1001,57257649,25161819,CN(CCOC1=CC=C(C=C1)Cl)C(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCN(CC3)C4=CC=CC=C4,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,3.143,-0.023,-100,12,-46.667,16,16,-7.143,3.571,7.143,-3.333,3.333,-3.333,-46.667,
1002,85271473,4790747,CC(C)C1=CC=C(C=C1)NC(=O)CN2C(=O)C3(CCCCCCC3)NC2=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-15.1786,-15.1786,8,-28.571,50,50,0,-7.143,-14.286,-7.143,-28.571,-21.429,-14.286,-28.571
1003,47202518,5996457,C/C(=N/NC(=O)C1=CC2=C(N1C)C=CC(=C2)Cl)/C3=C(C=CC(=C3)OC)OC,Active,51,,,=,8.3,5.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.3,5.081,2.551,-7.184,-80,14,-70.923,16,16,3.692,-0.154,-11.846,-7.692,-23.692,-23.538,-70.923,
1004,855749,5887,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.9318,11.9318,16,90.909,50,50,-18.182,-9.091,0,-9.091,0,9.091,31.818,90.909
1005,57260031,135715117,CCN(CC1=NC2=CC=CC=C2C(=O)N1)CC(=O)NC3=C(C=CC(=C3)Cl)N4C=NC=N4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.34895,4.34895,16,16.042,1.8,50,-9.583,0.208,6.042,6.25,16.042,12.917,2.917,0
1006,92764796,367851,CCN(CC)CCCNC1=C2C3=C(C=C1)N=CN3C4=C(C2=O)C=C(C=C4)O.Cl,Active,58,,,=,1.8,5.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.8,5.745,1.275,1.013,-198.987,7,-228.571,50,50,14.286,0,-7.143,-42.857,-85.714,-157.143,,-228.571
1007,89852979,233991,C1=CC=C2C(=C1)N=C(S2)C3=CC=CO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,10.5159,10.5159,12,35.714,50,50,-0.238,0,7.143,-7.143,3.571,14.048,27.857,35.714
1008,24820450,16195163,COC1=CC=C(C=C1)CNCC(=O)NC2=CC=CC=C2N3C=CC=C3.Cl,Active,52,,,=,6.21,5.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.21,5.207,4,3.269,-59.374,16,-69.231,16,50,23.077,11.538,-3.846,-3.846,-11.538,-19.231,-69.231,-50
1009,49674356,2324063,CC1=C(N2C=CC=CC2=C1C#N)C(=O)C3=CC(=CC(=C3)OC)OC,Active,58,,,=,1.8,5.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.8,5.745,1.997,6.756,-82.182,15,-87.5,50,50,4.167,0,16.667,-4.167,-37.5,-75,-75,-87.5
1010,57263692,4845135,CCOC(=O)C1=C(NC(=C1C(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-])C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.55386,4.55386,15,23.385,1.8,50,3.846,15.385,15.385,15.385,23.385,-4,-7.538,-20
1011,26725217,56642940,C/C=C(\C)/C(=O)O[C@H]1C/C(=C\C(=O)/C=C(/[C@@H]([C@H]2[C@@H]1C(=C)C(=O)O2)O)\C)/C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.7118,12.7118,15,45.019,50,50,11.941,-5.3,5.045,2.363,16.156,0,20.115,45.019
1012,24794715,2236478,CCCC(=O)NC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=C(C(=C(C(=C3F)F)OC)F)F,Active,60,,,=,1.13,5.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.13,5.947,1.868,3.055,-80,12,-86.574,5.6,5.6,4.63,1.389,0.926,-19.444,-50.463,-86.574,,
1013,103158834,24687587,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC3=CC=C(C=C3)Br,Active,62,,,=,0.662,6.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.662,6.179,2.359,15.101,-89.038,12,-83.333,5.6,5.6,12.5,20.833,4.167,-29.167,-83.333,-83.333,,
1014,7968964,5309695,C1=CC=C(C=C1)N2C(=NN=C2SCC(=O)NCC3=CC=CO3)CN4C5=CC=CC=C5SC4=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,19.7585,19.7585,15,116.667,0.0235,50,116.667,24.094,-10.507,-10.688,-6.522,-10.688,14.493,89.674
1015,92763917,335352,C1=CC2=C(C(=C1)NCCCNCCO)C(=O)C3=C(C2=O)C(=CC=C3)NCCCNCCO,Active,48,,,=,16,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16,4.796,0.5,7.494,-100,14,-44.746,5.6,16,2.174,1.993,-10.87,-6.341,-10.507,-44.746,-36.594,
1016,49642197,135468583,CC1=NC2=CC=CC=C2C(=C1)N/N=C/C3=CC=CC=C3O,Active,47,,,=,21.1,4.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,21.1,4.676,2.128,9.878,-190.122,14,-62.615,16,16,31.385,20,12,-7.692,-11.538,3.846,-62.615,
1017,26725306,23205,C[C@@H]1C[C@@H]2[C@H]([C@@H]([C@]3([C@H]1C=CC3=O)C)O)C(=C)C(=O)O2,Active,60,,,=,0.989,6.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,0.989,6.005,4,23.609,-33.908,10,-29.167,1.8,1.8,25,16.667,29.167,16.667,-29.167,,,
1018,49665326,3109741,CNC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)C,Active,51,,,=,7.59,5.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.59,5.120,0.961,0,-400,16,-350,50,50,22.727,9.091,-13.636,-31.818,-77.273,-181.818,-250,-350
1019,87338067,2931982,COC1=CC(=C(C=C1C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O)OC)OC,Active,51,,,=,8.08,5.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.08,5.093,1.767,0,-300,14,-308.718,50,50,10.513,0.513,0,-3.333,-43.077,-93.333,,-308.718
1020,14738110,3592097,CC1=CC=C(C=C1)C2=NC(=C(O2)C)CSCC(=O)NC3=NOC(=C3)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,9.69134,9.69134,15,32.407,50,50,16.204,8.796,-4.167,0,15.741,-0.463,4.167,32.407
1021,24801207,1147568,COC1=CC=CC=C1N2CCN(CC2)C(=O)C3=C(C=C(C=C3)SC)OC,Active,52,,,=,6.62,5.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.62,5.179,4,10.736,-66.329,14,-69.048,16,50,6.905,10.714,14.048,14.286,7.143,-14.286,-69.048,-62.143
1022,26666219,16682491,COC1=C(C=C(C=C1)CCNC2=C3C=CC=CC3=NC4=CC=CC=C42)OC.Cl,Active,54,,,=,3.9,5.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.9,5.409,1.681,-1.783,-100,14,-111.538,16,16,3.846,3.846,-3.846,-15.385,-26.923,-53.846,-111.538,
1023,85146070,44142043,CN1C=CC2=C1C=CC(=C2)C3=CC4=C(C=C3)N=CN=C4N(C)CC5=CC=CO5,Active,58,,,=,1.77,5.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.77,5.752,4,-0.605,-60,12,-67.917,5.6,5.6,-10,0,-6.042,13.125,-31.667,-67.917,,
1024,51085196,16806362,CC(C)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-].Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,45.4545,45.4545,16,145.455,16,50,-4.545,-13.636,-27.273,-22.727,31.818,131.818,145.455,122.727
1025,57268506,135659965,CC1=CC2=C(C=C1)N(CCC2)C(=O)CCC3=NC4=CC=CC=C4C(=O)N3,Active,53,,,=,5.42,5.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.42,5.266,4,13.183,-80,14,-81.818,16,16,13.636,13.636,-4.545,13.636,13.636,-36.364,-81.818,
1026,49644477,1105883,C1CC2=CC=CC=C2N(C1)S(=O)(=O)C3=CC=C(C=C3)Br,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.5,4.128,-100,15,-40.278,50,50,4.167,0,3.704,-31.019,-12.037,-29.63,-12.037,-40.278
1027,92763857,3001882,CC(=NNC(=S)N1CC2CCC(C1)CC2)C3=NC=CN=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.59996,-9.59996,16,-73.429,1.8,50,3.143,11.143,3.143,-53.619,-73.429,-21.619,7.333,-7.143
1028,24833623,2677285,CN(C1=CC=C(C=C1)OC)S(=O)(=O)C2=CC=CC(=C2)C(=O)NCC3CCCCC3,Active,43,,,=,48.24,4.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,48.24,4.317,0.662,9.208,-100,14,-41.571,50,50,2.618,5.556,25.926,-1.596,5.556,-12.452,-41.379,-41.571
1029,24788180,5736540,CCN\1C2=C(C=C(C=C2)S(=O)(=O)N(C)C)N(/C1=C\C=C/3\C(=O)N(C(=S)S3)CC=C)CC,Active,55,,,=,3.35,5.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.35,5.475,1.537,-4.362,-143.642,13,-145.455,50,50,-4.545,-9.091,-4.545,-9.091,-45.455,-100,-127.273,-145.455
1030,49731731,20959176,CC1=C(C=C(C=C1)C2=CN=C(O2)C3CC3)S(=O)(=O)NC4=CC=CC=C4OC,Active,50,,,=,9.51,5.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.51,5.022,4,2.575,-47.425,14,-36,50,50,-4.174,-8.174,-7.826,12.522,8.522,0.522,-36,-36
1031,85199290,4847983,CC1=C(NC(=C1C(=O)C)C)C(=O)OCC2=NN=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.1481,13.1481,15,22.685,1.8,50,-3.704,9.722,10.648,22.222,22.685,17.593,17.593,0
1032,47198474,5349753,CCOC1=CC=C(C=C1)C(=O)O/N=C(/C2=CC=CC=N2)\N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.08697,-1.08697,8,-13.044,5.6,50,-4.348,-13.044,4.348,4.348,4.348,-13.044,-4.348,13.043
1033,57261345,701172,C1COCCN1CC2=CC(=C(C3=C2C=CC=N3)O)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,34.1615,34.1615,7,82.609,16,16,-4.348,21.739,21.739,30.435,21.739,65.217,82.609,
1034,57262378,2128402,CC1=C(C=CC(=C1)NC(=O)CN2C(=O)C3(CCCCCC3)NC2=O)Br,Active,51,,,=,8.4,5.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.4,5.076,0.638,-0.028,-100,16,-80.769,50,50,-7.692,-3.846,0,-11.538,-42.308,-38.462,-53.846,-80.769
1035,24788883,16189382,CC1=CC(=CC=C1)N(C)C(=O)C2=CC3=C(S2)C4=C(C=CC(=C4)C)NC3=O,Active,53,,,=,4.72,5.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.72,5.326,2.165,-3.639,-159.733,16,-158.333,50,50,-12.5,0,4.167,-8.333,-20.833,-95.833,-150,-158.333
1036,92764758,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Active,51,,,=,7.74,5.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.74,5.111,0.849,11.148,-100,16,-92.308,50,50,11.538,4.359,14.872,1.026,-28.205,-28.718,-53.59,-92.308
1037,24793321,5730616,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N/C=C\C(=O)C3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.57935,2.57935,14,25,0.21,50,11.574,8.333,25,4.167,8.333,0,-15.278,-11.574
1038,103060810,49786852,CN1C(=O)C2=C(C=C(S2)C3=CSC=C3)N=C1NCC4=CC=CC=C4F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,13.6363,13.6363,12,27.273,0.6,50,9.091,0,9.091,27.273,18.182,18.182,22.727,-9.091
1039,24807099,5291166,CCCCN1C(=O)/C(=C/C=C\2/N(C3=CC=CC=C3O2)CC)/SC1=S,Active,50,,,=,9.56,5.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.56,5.020,1.145,4.174,-150,16,-129.167,50,50,4.167,8.333,0,-8.333,-12.5,-50,-95.833,-129.167
