PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
1561,144190512,60184958,CN1C=C(N=C1)S(=O)(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC=CC=C5F,Active,54,,,=,4.26,5.371,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.26,5.371,2.227,1.539,-112.156,15,-114.618,35,35,,-1.586,,,-3.974,,,3.801,,,,-19.13,,,-55.228,,,-89.921,,,-102.331,,,-114.618
1562,144194108,60188185,C1CC1C(=O)N2C[C@@H]3C([C@H](C2)N3)C4=CC=C(C=C4)C5=CC=NC=C5,Active,55,,,=,2.98,5.526,,,,,,,,,,,,,,,,,,,,,,2,55,,=,2.98,5.526,1.951,-10.074,-118.805,16,-120.94,35,35,,-8.457,,,-18.943,,,-18.087,,,,-45.584,,,-85.988,,,-100.462,,,-113.552,,,-120.94
1563,85812902,44505797,C[C@H]1CN(C(=O)CCCN2C(=CN=N2)CO[C@@H]1CN(C)C(=O)NC3=CC(=NC=C3)N4CCOCC4)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.58065,1.58065,13,6.26,2.1,35,,-0.401,,,3.889,,,-2.142,,,,6.26,,,5.053,,,-1.703,,,-1.172,,,1.697
1564,131464147,54668634,COC1=CC=C(C=C1)C2=CC=C(C=C2)[C@H]3[C@H]4CN(CCCCN4[C@@H]3CO)C(=O)CC5=CC=CC=C5,Active,44,,,=,41.49,4.382,,,,,,,,,,,,,,,,,,,,,,2,44,,=,41.49,4.382,1.224,1.864,-100,12,-42.874,35,35,,0.761,,,2.412,,,0.391,,,,-0.865,,,,,,-7.487,,,-25.063,,,-42.874
1565,131414261,54619148,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CC=C(C=C3)C#N)O[C@@H]1CN(C)CC4=CC(=CC=C4)F)[C@H](C)CO,Active,55,,,=,3.4,5.469,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.4,5.469,2.129,3.578,-123.662,16,-123.336,35,35,,6.907,,,-2.668,,,-6.576,,,,-26.363,,,-78.358,,,-101.689,,,-120.443,,,-123.336
1566,104170382,49843152,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,53,,,=,4.84,5.315,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.84,5.315,2.001,-13.244,-126.513,11,-123.806,35,35,,,,,-13.662,,,-18.68,,,,-32.188,,,-59.695,,,-96.684,,,-118.173,,,-123.806
1567,104170846,49843431,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)CC4=CC=NC=C4,Active,51,,,=,8.41,5.075,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.41,5.075,2.706,-25,-100,15,-119.956,35,35,,-20.039,,,-19.682,,,-26.894,,,,-32.088,,,-42.684,,,-52.769,,,-93.478,,,-119.956
1568,131412776,54617707,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=C(ON=C4C)C,Active,50,,,=,10.86,4.964,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.86,4.964,2.845,0,-100,14,-109.958,35,35,,14.479,,,1.973,,,-11.822,,,,-1.662,,,-6.844,,,-31.319,,,-70.426,,,-109.958
1569,131426919,54631124,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=C(C=C3)F)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Active,50,,,=,9.52,5.021,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.52,5.021,3.463,-6.705,-100,15,-116.364,35,35,,-3.72,,,-1.74,,,-4.362,,,,-11.867,,,-19.813,,,-36.39,,,-88.651,,,-116.364
1570,87541674,44618470,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)N(C)C)O[C@H]1CN(C)CC3=CC=C(C=C3)C(=O)NC4=CC=CC=C4N)[C@@H](C)CO,Active,48,,,=,16.62,4.779,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.62,4.779,1.847,-1.13,-100,11,-79.701,35,35,,,,,-4.444,,,8.934,,,,-6.306,,,-6.497,,,-21.252,,,-49.746,,,-79.701
1571,131455760,54659295,C1CCN(CC1)C(=O)C[C@H]2CC[C@H]3[C@H](O2)COC[C@H](CN3CC4=CC=C(C=C4)OC5=CC=CC=C5)O,Active,48,,,=,14.99,4.824,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.99,4.824,1.426,3.146,-100,16,-86.509,35,35,,5.366,,,4.693,,,3.426,,,,-9.032,,,-14.161,,,-30.242,,,-38.264,,,-86.509
1572,131460384,54664871,COC1=CC=CC=C1C2=CC3=C(C=C2)N[C@@H]([C@@H]4[C@H]3N(CC4)C(=O)C5CCCCC5)CO,Active,50,,,=,9.8,5.009,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.8,5.009,2.773,-3.497,-100,16,-110.063,35,35,,1.855,,,1.558,,,-5.602,,,,-11.306,,,-15.508,,,-36.719,,,-78.36,,,-110.063
1573,87543248,44620041,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,53,,,=,5.52,5.258,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.52,5.258,1.971,5.428,-116.425,16,-111.459,35,35,,7.633,,,4.327,,,,-0.104,,,-14.82,,,-35.333,,,-78.268,,,-105.159,,,-111.459
1574,85795175,44488647,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O[C@H]1CN(C)CC4CCCCC4)[C@H](C)CO,Active,51,,,=,7.77,5.11,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.77,5.11,2.338,2.529,-100,16,-110.857,35,35,,1.855,,,5.95,,,3.907,,,,-7.065,,,-18.923,,,-47.939,,,-82.277,,,-110.857
1575,131413872,54618771,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=NC=C3)O[C@@H]1CN(C)C(=O)NC4=CC5=C(C=C4)OCO5)[C@@H](C)CO,Active,66,,,=,0.264,6.578,,,,,,,,,,,,,,,,,,,,,,2,66,,=,0.264,6.578,2.025,0,-117.082,16,-128.673,35,35,,-55.416,,,-97.565,,,-103.009,,,,-114.454,,,-109.543,,,-115.297,,,-117.871,,,-128.673
1576,131455664,54659201,C1CCC(CC1)CNC(=O)C[C@@H]2CC[C@H]3[C@H](O2)COC[C@H](CN3CC4=CC(=CC=C4)F)O,Active,45,,,=,33.96,4.469,,,,,,,,,,,,,,,,,,,,,,2,45,,=,33.96,4.469,0.903,-8.572,-100,16,-54.822,35,35,,-10.491,,,-5.654,,,-17.488,,,,-14.029,,,-23.165,,,-24.226,,,-40.964,,,-54.822
1577,87543410,44620202,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC4=C(C=C3)OCO4)[C@H](C)CO)C)CN(C)CC5=CC=C(C=C5)C(F)(F)F,Active,51,,,=,8.35,5.078,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.35,5.078,4,-20.769,-100,15,-117.978,30,30,,-12.415,,,-16.878,,,-25.348,,,-22.187,,,,-33.844,,,-52.818,,,-102.359,,-117.978,
1578,104170692,49843093,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,50,,,=,10.81,4.966,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.81,4.966,2.673,-5.628,-100,11,-103.671,35,35,,1.218,,,-5.711,,,-9.949,,,,-7.504,,,-14.01,,,-34.972,,,-72.893,,,-103.671
1579,131412531,54617464,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@H](C)CO)C)CN(C)C(=O)NC4=CC=CC5=CC=CC=C54,Active,52,,,=,5.78,5.238,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.78,5.238,2.436,5.909,-106.847,15,-104.666,35,35,,5.861,,,5.711,,,7.201,,,,-7.469,,,-27.079,,,-72.61,,,-98.751,,,-104.666
1580,87539664,44616464,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CCC(F)(F)F)[C@H](C)CO)C)CN(C)CC3=CC=C(C=C3)C(F)(F)F,Active,52,,,=,5.89,5.23,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.89,5.23,2.668,-18.515,-100,10,-119.793,35,35,,,,,-20.093,,,-14.416,,,,-23.891,,,-44.67,,,-73.039,,,-96.853,,,-119.793
1581,131436519,54640216,C1CCC(CC1)C2=CN(N=N2)CC[C@H]3CC[C@H]([C@@H](O3)CO)NC(=O)NC4=CC(=C(C=C4)Cl)Cl,Active,47,,,=,19.68,4.706,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.68,4.706,2.429,5.538,-100,15,-78.888,35,35,,3.305,,,12.85,,,1.444,,,,8.769,,,1.433,,,-4.315,,,-34.606,,,-78.888
1582,131413159,54618086,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,54,,,=,4.45,5.352,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.45,5.352,1.807,4.621,-123.165,16,-118.97,35,35,,3.594,,,3.72,,,-2.895,,,,-26.407,,,-50.1,,,-94.316,,,-111.728,,,-118.97
1583,85805937,44498974,C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3=CC=NC=C3)O[C@@H]1CN(C)S(=O)(=O)C4=CC=CS4)[C@@H](C)CO,Active,42,,,=,69.49,4.158,,,,,,,,,,,,,,,,,,,,,,2,42,,=,69.49,4.158,0.5,-10.544,-100,15,-44.849,35,35,,-13.225,,,-17.248,,,-30.757,,,,-21.952,,,-28.53,,,-33.896,,,-41.898,,,-44.849
1584,144192109,60186363,C1[C@@H]2[C@H]([C@H](N2C(=O)CN1S(=O)(=O)CC3=CC=CC=C3)CO)C4=CC=C(C=C4)C#CC5=CC=C(C=C5)F,Active,53,,,=,4.64,5.333,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.64,5.333,4,-3.544,-123.255,16,-123.095,35,35,,-0.036,,,-3.033,,,-4.185,,,,-13.195,,,-48.649,,,-117.302,,,-118.317,,,-123.095
1585,85795421,44488876,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,47,,,=,22.03,4.657,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.03,4.657,4,-6.284,-100,16,-87.199,30,30,-1.765,,,,-5.234,,,-7.443,,,-0.555,,,-13.884,,,,-14.984,,,-17.488,,-87.199,
1586,131446404,54649995,COC1=CC=CC(=C1)C#CC2=CC=C(C=C2)[C@H]3[C@H](N([C@H]3C#N)C(=O)C4=CC=CC=N4)CO,Active,56,,,=,2.41,5.618,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.41,5.618,1.862,-1.371,-119.771,16,-118.747,35,35,,3.003,,,-14.742,,,,-24.245,,,-49.372,,,-91.657,,,-108.629,,,-115.376,,,-118.747
1587,131412525,54617458,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=CC5=CC=CC=C54,Active,54,,,=,4.15,5.382,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.15,5.382,2.781,3.887,-113.723,16,-112.525,35,35,,9.237,,,2.59,,,0.09,,,,-17.1,,,-49.961,,,-105.124,,,-107.508,,,-112.525
1588,131444059,51358835,COC1=CC(=CC=C1)S(=O)(=O)NC2=CC3=C(C=C2)O[C@@H]4[C@H]3C[C@H](O[C@H]4CO)CC(=O)NCC5=CC=C(C=C5)Cl,Active,55,,,=,3.36,5.474,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.36,5.474,1.665,4.702,-100,15,-116.595,35,35,,-1.304,,,2.785,,,-1.197,,,,-34.507,,,-55.591,,,-77.691,,,-90.821,,,-116.595
1589,85793432,44486962,C[C@@H]1CN(C(=O)CCCN2C=C(CO[C@H]1CN(C)C(=O)NC3=CC=C(C=C3)C4=CC=CS4)N=N2)[C@H](C)CO,Active,66,,,<,0.26,6.585,,,,,,,,,,,,,,,,,,,,,,2,66,,<,0.26,6.585,1.022,0,-108.908,16,-110.522,35,35,,-54.404,,,-72.723,,,-90.05,,,,-97.15,,,-99.671,,,-104.939,,,-107.895,,,-110.522
1590,87543124,44619917,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.35,5.197,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.35,5.197,3.374,3.65,-112.35,15,-114.731,35,35,,7.032,,,18.172,,,-2.724,,,,-5.7,,,-16.184,,,-78.113,,,-103.403,,,-114.731
1591,85813048,44505943,C[C@H]1CN(C(=O)CCCN2C=C(CO[C@@H]1CN(C)S(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)N=N2)[C@H](C)CO,Active,54,,,=,3.99,5.399,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.99,5.399,1.479,-9.458,-112.362,16,-112.339,35,35,,-13.79,,,-13.978,,,-16.667,,,,-40.025,,,-63.436,,,-87.353,,,-94.25,,,-112.339
1592,131411335,54616282,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)[C@@H](C)CO)C)CN(C)C(=O)C4=CC=CC=C4,Active,52,,,=,6.57,5.182,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.57,5.182,2.145,-11.454,-117.753,16,-116.239,35,35,,-8.473,,,-17.353,,,-6.633,,,,-27.731,,,-34.823,,,-80.153,,,-100.739,,,-116.239
1593,85804262,44497382,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@H](C)CO,Active,50,,,=,11.18,4.952,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.18,4.952,3.145,-12.382,-100,15,-113.696,35,35,,-12.022,,,-10.011,,,-12.42,,,,-9.741,,,-23.638,,,-33.395,,,-77.525,,,-113.696
1594,131442205,54645832,C1CN(CC2=CC=CC=C21)C(=O)C[C@H]3C[C@@H]4[C@H]([C@H](O3)CO)OC5=C4C=C(C=C5)NC(=O)NC6=CC=C(C=C6)C(F)(F)F,Active,50,,,=,9.5,5.022,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.5,5.022,4,-7.513,-119.898,16,-116.211,30,30,,5.027,,,-1.515,,,-8.299,,,-20.127,,,-16.88,,,,-42.508,,,-111.497,,-116.211,
1595,85794589,44488103,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)C(F)(F)F)O[C@H]1CN(C)C(=O)NC4CCCCC4)[C@@H](C)CO,Active,50,,,=,10.25,4.989,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.25,4.989,3.707,-13.656,-100,9,-110.881,35,35,,,,,-4.266,,,,-16.041,,,-18.095,,,-14.822,,,-38.731,,,-84.061,,,-110.881
1596,144188466,60183049,COC1=CC=C(C=C1)NC(=O)N2C[C@H]3[C@@H]([C@@H](N3C(=O)C2)CO)C4=CC=C(C=C4)/C=C/C5=CC=CC=C5,Active,53,,,=,5.52,5.258,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.52,5.258,4,0,-124.848,14,-121.433,16,30,,6.128,,,-4.264,,,-11.253,,,,-10.381,,,-14.74,,,-111.704,,,-121.433,,-120.818,
1597,131426922,54631127,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=C(C=C3)F)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@@H](C)CO,Active,52,,,=,6.32,5.199,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.32,5.199,4,-5.669,-100,14,-121.347,35,35,,1.891,,,-3.212,,,-11.43,,,,-13.175,,,-16.956,,,-77.362,,,-99.982,,,-121.347
1598,131412709,54617640,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,50,,,=,9.98,5.001,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.98,5.001,4,-9.853,-124.336,16,-122.36,35,35,,-13.112,,,-13.408,,,-6.223,,,,-3.383,,,-17.758,,,-41.354,,,-111.608,,,-122.36
1599,131415030,54619868,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3F)O[C@H]1CN(C)C(=O)C4=CC5=C(C=C4)OCO5)[C@@H](C)CO,Active,53,,,=,4.88,5.312,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.88,5.312,2.629,-9.678,-117.311,15,-122.045,35,35,,-12.006,,,-15.768,,,-0.553,,,,-23.893,,,-51.067,,,-97.82,,,-97.16,,,-122.045
1600,131439779,54643435,COC1=CC=C(C=C1)C2=CN(N=N2)CC[C@H]3CC[C@H]([C@@H](O3)CO)NC(=O)CC4=CC=CC=N4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.78123,-1.78123,12,-11.61,8,35,,2.506,,,-0.619,,,8.915,,,,-4.836,,,0.901,,,-11.61,,,-5.214,,,-4.994
1601,131412385,54617320,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,52,,,=,6.14,5.212,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.14,5.212,2.016,-25,-125.177,16,-122.637,35,35,,-27.976,,,-21.012,,,-30.739,,,,-38.218,,,-53.251,,,-90.873,,,-111.196,,,-122.637
1602,85798007,44491353,C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=C(ON=C3C)C)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,46,,,=,27.53,4.56,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.53,4.56,1.577,-9.527,-100,12,-63.174,35,35,,-12.242,,,-10.888,,,-9.946,,,,-5.63,,,-21.576,,,-18.885,,,-36.637,,,-63.174
1603,87543014,44619807,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F,Active,55,,,=,3.44,5.463,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.44,5.463,2.313,-14.633,-122.511,16,-121.748,35,35,,-14.909,,,-14.215,,,-22.846,,,,-39.707,,,-80.961,,,-109.213,,,-119.615,,,-121.748
1604,131462082,54666569,COC1=CC=CC=C1NC(=O)N2CCCCN3[C@H](C2)[C@H]([C@@H]3CO)C4=CC=C(C=C4)C5=CC=CC(=C5)C#N,Active,49,,,=,11.64,4.934,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.64,4.934,1.251,3.309,-100,14,-57.626,16,16,,2.623,,,1.708,,,2.382,,,,-18.227,,,-8.904,,,-41.262,,,-57.626,,,
1605,131410712,54615665,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3CCCCC3)[C@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,49,,,=,11.67,4.933,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.67,4.933,4,0.427,-123.678,15,-121.489,35,35,,8.008,,,,2.998,,,2.728,,,-4.521,,,-6.16,,,,-30.713,,,-106.344,,-121.489
1606,87539854,44616654,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)C)[C@H](C)CO)C)CN(C)CC4=CC=C(C=C4)OC,Active,48,,,=,16.77,4.775,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.77,4.775,0.928,-1.793,-100,14,-44.822,16,16,,-8.63,,,-7.06,,,-3.375,,,,-5.499,,,-28.605,,,-41.18,,,-44.822,,,
1607,131409529,54614547,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)O[C@H]1CN(C)CC4=CC=C(C=C4)C(F)(F)F)[C@@H](C)CO,Active,53,,,=,4.76,5.322,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.76,5.322,2.734,-18.107,-100,14,-113.165,16,16,,-11.929,,,-20.194,,,,-22.445,,,-27.957,,,-52.345,,,-78.695,,,-113.165,,,
1608,104170417,49843000,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,51,,,=,7.5,5.125,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.5,5.125,2.442,10.645,-100,15,-116.923,35,35,,10.438,,,19.125,,,3.317,,,,3.239,,,-10.339,,,-48.969,,,-82.892,,,-116.923
1609,87540768,44617564,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Active,54,,,=,3.96,5.402,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.96,5.402,1.957,-11.496,-109.627,15,-108.234,35,35,,-12.775,,,-13.92,,,-13.901,,,,-33.198,,,-65.212,,,-87.408,,,-104.831,,,-108.234
1610,104170606,49843042,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)Cl,Active,52,,,=,6.83,5.166,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.83,5.166,2.144,-7.195,-128.604,16,-122.096,35,35,,-6.235,,,-3.423,,,-12.075,,,,-19.919,,,-38.029,,,-75.411,,,-116.772,,,-122.096
1611,131410266,54615230,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CC3=CC=CC=C3)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,51,,,=,7.23,5.141,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.23,5.141,3.296,-16.18,-100,16,-118.205,35,35,,-12.345,,,,-14.362,,,-15.698,,,-21.011,,,-33.497,,,-59.641,,,-101.978,,,-118.205
1612,131412014,54616957,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@@H](C)CO)C)CN(C)CC4=CC=C(C=C4)C(F)(F)F,Active,51,,,=,7.47,5.127,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.47,5.127,2.7,-2.29,-100,15,-119.38,35,35,,1.705,,,2.994,,,-2.733,,,,-15.355,,,-20.382,,,-51.604,,,-92.685,,,-119.38
1613,85805567,44498630,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@@H](C)CO)C)CN(C)CC4=CC(=C(C=C4)Cl)Cl,Active,51,,,=,8.87,5.052,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.87,5.052,3.665,0,-100,11,-112.214,35,35,,19.898,,,0.18,,,-3.249,,,,-4.697,,,-6.294,,,-40.774,,,-86.904,,,-112.214
