PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
778,24810452,4202515,CC(CN1CCCCC1)C(=O)NNC(=O)C23CC4CC(C2)CC(C4)C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.87841,1.87841,15,3.857,0.3,26,-2.565,2.917,0.024,3.857,2.994,3.807,-0.249,3.179
779,85198922,16298256,CC1CCN(C2=CC=CC=C2S1)C(=O)CN3C=C(C=CC3=O)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.93142,3.93142,16,8.807,0.3,26,1.739,5.436,6.151,8.807,5.677,5.677,2.049,-4.086
780,49736865,24793899,CC(CNC(=O)C1=CC=C(C=C1)OC2CCN(CC2)CC3=CC=CC=N3)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.24642,-2.24642,16,-5.881,8,26,-3.498,1.055,-2.768,1.314,-3.777,-0.299,-5.881,-4.117
781,22404772,15945010,C1CCC(CC1)NCC(COCCOC2=CC=C(C=C2)Br)O.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.71431,4.71431,14,6.492,0.011,26,6.492,4.338,5.647,4.943,4.958,4.134,,2.489
782,24832942,4654038,COCCC1=NN(C(C1)(C(F)(F)F)O)C2=NC3=CC=CC=C3S2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.9649,2.9649,16,5.897,0.1,26,5.39,3.665,5.897,5.004,4.523,2.888,0.937,-4.585
783,24822905,4615770,C1=CC2=C(C=C1O)OC(=O)C3C2C4=C(NC(=O)S4)SC3C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,2.107,3.115,-100,16,-15.844,26,26,0.126,-0.507,6.266,4.112,8.016,-0.036,1.71,-15.844
784,26668722,644532,COC1=CC2=C(C=C1)C=C(C(=O)N2)C(C3=NN=NN3C4CCCC4)N5CCC6=CC=CC=C6C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.049,6.031,-100,16,-25.74,26,26,4.045,8.887,4.936,7.004,1.782,4.058,-6.633,-25.74
785,47204503,2835892,C1CN(CCN1C2CC(=O)N(C2=O)C3=CC=C(C=C3)C(=O)O)C4=CC=CC(=C4)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.98891,4.98891,16,8.083,2.85,26,2.277,5.363,4.13,6.526,4.094,8.083,5.111,4.328
786,14722652,3150950,CN1C(=O)CC(C1=O)SC2=CC=CC=C2C(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.51478,-1.51478,16,-6.039,0.011,26,-6.039,-1.361,-1.998,0.755,-1.114,1.463,-2.555,-1.269
787,24794848,2893350,CCOC(=O)C1=C(SC2=C1CC(OC2)(C)C)NC(=O)C3CC(=CCC3C(=O)O)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.123,1.246,-100,15,-18.032,26,26,2.405,0.955,1.243,0.29,0.951,-1.497,-4.112,-18.032
788,121286177,51361425,C1CCC(CC1)NC(=O)C(C2=CC=NC3=CC=CC=C23)N4CCC5=CC=CC=C5C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.186,4.217,-100,16,-23.32,26,26,2.374,6.837,4.78,3.241,1.671,3.321,-4.904,-23.32
789,99358079,71209,CN1C(S(=O)(=O)CCC1=O)C2=CC(=C(C=C2)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.49347,5.49347,16,8.391,2.85,26,0.93,4.695,5.959,7.744,5.343,8.391,5.097,5.79
790,4245063,3239578,COC1=CC(=C(C=C1)NC(=O)C(C(F)(F)F)(OC)F)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.29396,1.29396,16,5.558,0.9,26,-1.652,-1.158,3.51,1.157,5.558,1.087,3.588,-1.739
791,7967180,5308672,CC1=CC=CC=C1NC(=O)C2CCCN(C2)S(=O)(=O)C3=CN=CN3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.32169,-2.32169,16,-7.857,26,26,0.373,-0.267,1.851,-4.152,-1.881,-3.212,-3.428,-7.857
792,103050481,4621994,CC1CCCCC1NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CC(CC(C3)C)C)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.04841,5.04841,16,9.588,0.1,26,7.637,7.136,9.588,4.944,4.944,3.002,4.365,-1.229
793,22405913,3409119,C1C2(C=CC(=O)C(C2CC(=O)C3=CC=CC=C3)(CN1CCC(=O)O)[N+](=O)[O-])[N+](=O)[O-],Active,48,,,=,15.71,4.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.71,4.804,0.994,7.638,-100,16,-59.307,26,26,9.131,5.955,7.733,3.755,2.622,-8.918,-29.007,-59.307
794,99454229,46942567,CN1CCN(CC1)C2=CC=C(C=C2)CNC(=O)C3CC4=C(C=CN=C4O3)C5=CC6=C(C=C5)OCO6,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.54977,2.54977,16,5.203,0.011,26,5.203,1.076,5.112,1.885,5.179,-1.569,4.981,-1.469
795,49732803,3830750,CC1=C(C=CC(=C1)C2(C3=CC=CC=C3NC2=O)O)F,Active,49,,,=,13.02,4.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.02,4.885,1.021,5.973,-100,16,-65.055,26,26,5.846,4.733,6.787,3.718,-1.257,-12.274,-34.061,-65.055
796,24812318,16034219,CC1=CC=C(C=C1)CCNC(=O)C2CC(=O)N(C2)CCC3=CC(=C(C=C3)OC)OC,Active,47,,,=,20.14,4.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.14,4.696,1.192,6.039,-100,16,-55.334,26,26,5.788,7.226,5.588,7.851,-0.855,-2.564,-19.858,-55.334
797,56321727,24981761,CC(C1=CC=C(C=C1)S(=O)(=O)N)NC(=O)CN2C3=CC=CC4=C3C(=CC=C4)S2(=O)=O,Active,47,,,=,22.43,4.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,22.43,4.649,1.496,-2.118,-100,16,-56.736,26,26,-3.152,-4.914,2.276,-3.901,0.346,-9.663,-18.083,-56.736
798,56423484,3283334,C1CCC(C(C1)C(=O)NC2=NC(=CS2)C3=CC=C(S3)Cl)C(=O)O,Active,45,,,=,32.91,4.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.91,4.483,0.87,3.27,-100,16,-43.344,26,26,2.303,2.064,4.819,2.64,-2.75,-7.968,-19.33,-43.344
799,49722962,20901816,CC1CC2=C(N1C(=O)C)C=CC(=C2)S(=O)(=O)N(C)CC(=O)NCC3=CC=C(C=C3)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.38953,-1.38953,16,-6.489,26,26,-2.617,-4.222,2.391,-5.016,2.902,-0.886,2.822,-6.489
800,24788086,4225064,C1=CC=C2C(=C1)C3=C(C(C(=C(O3)N)C#N)C4=CC=C(O4)[N+](=O)[O-])C(=O)O2,Active,49,,,=,13.88,4.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.88,4.858,1.075,0.208,-100,15,-65.702,26,26,-0.34,-1.095,0.947,-1.88,-3.625,-14.987,-36.257,-65.702
801,99456053,46943581,CC1(CCN(C1)CC2=CC=C(C=C2)OC(F)(F)F)OC3=CN=C(C4=CC=CC=C43)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,4.277,-100,16,-10.771,26,26,0.698,5.881,3.41,4.803,0.006,-2.003,-9.577,-10.771
802,51088860,5307839,CN1CN2C(=O)CC(C(=C2SC1)C#N)C3=C(C=CC(=C3)Br)OC,Active,44,,,=,39.24,4.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,39.24,4.406,1.089,0.803,-100,16,-38.857,26,26,1.055,-1.312,3.444,0.521,-1.144,-6.748,-12.815,-38.857
803,49818957,2947827,CC1=CC2=C(C=C1)OC(=C2C)C(=O)N(CC3=CC=C(C=C3)N(C)C)C4CCS(=O)(=O)C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.06685,3.06685,16,6.914,0.9,26,0.631,3.145,5.517,5.899,6.914,4.388,1.243,-3.202
804,47198780,2834848,C1C2C=CC1C(C2C(=O)NC3=CC=CC=C3Br)C(=O)O,Active,52,,,=,6.78,5.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.78,5.169,1.094,0.383,-100,15,-80.869,26,26,-0.342,-2.573,2.419,-1.723,-7.284,-30.049,-53.557,-80.869
805,56317712,24980018,CC1=C(C(=CC=C1)C)NC(=O)CN(C)C(=O)C(CCSC)NC(=O)COC2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.09923,7.09923,15,9.028,0.035,26,8.749,9.028,7.706,7.321,7.661,5.157,5.952,5.501
806,24787659,2952379,CC1CCN(CC1)CC(CN2C3=C(CCCC3)C4=C2C=CC(=C4)C)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.40319,5.40319,15,9.088,0.3,26,3.587,8.322,5.416,9.088,3.437,5.658,1.322,8.237
807,49667379,24761173,CC(=O)NC1C2=C(C=CC(=C2)F)N(C1=O)CCN3CCOCC3.Cl,Active,48,,,=,15.99,4.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,15.99,4.796,0.875,3.919,-100,16,-57.582,26,26,0.2,2.898,4.314,4.279,-4.563,-14.084,-34.96,-57.582
808,47200835,14197121,CC1=CC2=C(C=C1)NC3=C2CCCC3NCCO.Cl,Active,47,,,=,22.19,4.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,22.19,4.654,1.452,8.142,-100,16,-51.822,26,26,6.48,8.283,8.404,9.515,5.233,5.296,-13.005,-51.822
809,24819263,2766807,C1=CC=C(C=C1)C2=NC3=C(N2OCC(=O)O)C=C(C=C3)[N+](=O)[O-],Active,53,,,=,5.23,5.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.23,5.281,0.827,2.436,-100,15,-74.471,26,26,-0.489,2.966,-2.161,-4.549,-16.871,-33.84,-63.008,-74.471
810,57268764,16229359,CC1=CC(=C(C=C1)C)OCCC(=O)N2CCN(CC2)S(=O)(=O)C3=C(C=CC(=C3)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.0998,0.0998,16,3.934,2.85,26,-2.155,1.74,-0.63,2.033,-0.221,3.934,-0.933,-2.969
811,26726428,2735921,C1=CC(=C(N=C1)OC2=CC=C(C=C2)F)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.05366,2.05366,16,5.082,0.035,26,2.704,5.082,2.527,4.665,-0.114,3.314,-1.387,-0.361
812,57256041,4848451,C1=CC2=C(C=C1NS(=O)(=O)C3=CC(=C(C=C3)Br)C(=O)O)NN=C2,Active,48,,,=,14.53,4.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.53,4.838,1.803,1.972,-100,15,-74.072,26,26,1.143,1.424,4.337,3.074,2.201,-5.978,-22.733,-74.072
813,24823527,9628228,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=C(C(=C2)O)O)O)CN3C=C(C=N3)[N+](=O)[O-],Active,61,,,=,0.873,6.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.873,6.059,0.942,7.794,-94.35,15,-90.161,26,26,4.857,3.883,-3.929,-19.577,-44.451,-68.289,-83.73,-90.161
814,49664925,24761053,C[N+]1=C2C=C(C=CC2=NC3=CC=CC=C31)NCCO.[O-]Cl(=O)(=O)=O,Active,55,,,=,3.35,5.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.35,5.475,1.35,-0.954,-100,15,-95.705,26,26,-0.701,-5.993,-0.42,-0.217,-21.386,-41.114,-78.229,-95.705
815,47193853,5351216,CN1C(=O)C2=C(NC1=O)N=NC=N2,Active,52,,,=,7.06,5.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,7.06,5.151,1.494,-3.656,-100,15,-90.056,26,26,-2.583,-0.346,-4.74,-5.774,-13.633,-23.217,-54.953,-90.056
816,17388038,80444,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)C(=O)O)C(=O)O)N,Active,44,,,=,37.83,4.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,37.83,4.422,1.744,3.154,-100,14,-31.98,26,26,-19.184,2.653,6.769,6.062,10.357,4.494,-4.452,-31.98
817,125305255,53382611,COC(=O)C[C@@H]1CC[C@@H]([C@H](O1)CO)NC(=O)C2=CC3=C(C=C2)OCO3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.14209,-4.14209,16,-10.489,26,26,-1.955,-3.319,-2.298,-4.309,-2.366,-3.915,-4.487,-10.489
818,99358900,46903649,C#CCOC1=CC=C(C=C1)CNC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.388189,-0.388189,16,-7.113,26,26,-0.313,1.343,3.103,1.581,2.09,-0.541,-3.255,-7.113
819,26666279,5404739,C1=C(OC(=C1)[N+](=O)[O-])/C=N\NC(=O)C2=CC(=CN=C2)Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.45024,2.45024,16,8.268,0.035,26,6.407,8.268,6.755,7.085,-1.661,3.237,-4.027,-6.463
820,49721692,22519415,CC(=O)N1CCOC2=C1C=C(C=C2)S(=O)(=O)NCC3=CC=C(C=C3)F,Active,50,,,=,11.17,4.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.17,4.952,1.031,4.824,-100,16,-67.487,26,26,2.453,5.586,3.636,5.244,-5.316,-12.166,-41.879,-67.487
821,49643182,950852,C1=CC2=C(C(=C1)NCC3=C(C=CC(=C3)Cl)O)N=CC=C2,Active,43,,,=,48.44,4.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,48.44,4.315,0.959,-1.755,-100,16,-36.55,26,26,-3.524,-5.161,1.686,-2.908,0.294,-10.795,-16.12,-36.55
822,24840138,2355982,C1C(=O)N(C(=S)S1)NC(=O)C(=O)NN2C(=O)CSC2=S,Active,66,,,=,0.276,6.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66,,=,0.276,6.559,0.779,13.5,-88.775,16,-90.332,26,26,2.048,1.184,-16.027,-44.477,-61.724,-67.736,-80.427,-90.332
823,49826478,977887,C1CC1C(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CS3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,2.687,-100,15,-5.177,26,26,3.639,1.034,3.139,0.967,0.088,-0.257,-3.391,-5.177
824,99359254,46903833,C1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=CC=CC=C3F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.57932,2.57932,15,6.694,0.3,26,1.276,6.304,1.651,6.694,0.467,2.62,0.688,0.954
825,49674245,135675953,C/C(=N\N1CCCCC1)/C2=C(C=C(C=C2)OC)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.64527,-1.64527,16,-4.139,26,26,-0.155,0.037,-1.39,-0.837,-3.666,0.204,-3.217,-4.139
826,14727792,7312244,CCOC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)O)SC3=NC=NN3,Active,43,,,=,51.34,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,51.34,4.29,1.473,0.332,-100,16,-26.859,26,26,1.516,-1.817,4.519,-1.041,0.919,-5.49,-3.854,-26.859
827,24825049,2565359,C=CCNC(=O)COC1=CC=CC=C1C#N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.38408,0.38408,16,-3.823,26,26,2.526,2.402,1.736,0.794,0.721,-0.188,-1.096,-3.823
828,14744989,2089472,CC1=C(C(=NO1)C)C(=O)NCCC2=CC=C(C=C2)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.8275,2.8275,15,6.78,0.035,26,1.98,6.78,2.469,4.719,1.882,4.195,-0.985,2.264
829,49727780,3207086,CCC(C)(C)NC(=O)CN(C1=CC2=C(C=C1)OCCO2)C(=O)CNS(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.512698,0.512698,16,-3.633,0.011,26,-3.633,2.187,1.14,3.523,-2.781,3.154,0.07,0.44
830,56422346,25102407,C1CCC2=C(C1)C3=C(S2)N=C(NC3=O)CCC(=O)NCC(=O)NC4=CC=CC=C4Br,Active,46,,,=,26.8,4.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,26.8,4.572,0.721,7.593,-100,15,-44.964,26,26,7.042,4.62,8.449,2.966,-1.142,-9.01,-27.307,-44.964
831,47193423,16738602,COC1=CC(=C(C=C1)OC)NC(=O)NC2=CC=C(C3=CC=CC=C32)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.222,7.872,-100,15,-21.752,26,26,7.165,8.977,7.112,8.074,5.196,6.71,-1.749,-21.752
832,24813200,2133777,C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4,Active,60,,,=,0.911,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,,=,0.911,6.04,1.615,-0.325,-98.548,16,-98.663,26,26,-1.913,-2.301,-0.489,-12.859,-51.121,-82.203,-96.878,-98.663
833,24823842,16195593,CC1=CC2=C(C(=C1N)[N+](=O)[O-])N=C3C(=N2)C(=O)NC(=O)N3,Active,53,,,=,4.58,5.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.58,5.339,0.977,7.238,-100,16,-79.85,26,26,3.711,7.882,3.924,3.46,-11.052,-34.169,-63.359,-79.85
834,85199507,2350846,C1=CC(=C(C=C1Br)F)NC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,44,,,=,40.06,4.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,40.06,4.397,1.883,2.03,-100,15,-29.297,26,26,-2.036,-1.042,5.438,1.909,6.789,-0.792,-2.601,-29.297
835,124753541,136153821,CCCCCN1C(=NN=N1)C2=NC3=C(C=C(C(=C3)C)C)NC2=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.48708,-2.48708,16,-9.103,26,26,-3.46,-5.178,0.898,-0.867,1.27,1.199,-4.656,-9.103
836,26658312,6247103,COC1=CC(=CC(=C1OC)OC)/C=C/2\CCC3=C(C4=CC=CC=C4N=C23)C(=O)O,Active,52,,,=,6.8,5.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.8,5.167,0.63,5.913,-100,15,-64.462,26,26,0.142,3.034,1.923,-5.314,-15.428,-35.345,-52.805,-64.462
837,125305557,53382902,CCCCNC(=O)C1=C(OC(=N1)C2CCNCC2)C3=CC(=CC=C3)C(F)(F)F,Active,58,,,=,1.6,5.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.6,5.796,1.204,0.066,-97.374,16,-93.172,26,26,-0.482,0.772,-4.347,-12.143,-31.945,-64.334,-86.62,-93.172
838,14730491,690923,C1CC2=C(C1)SC3=C2C(=O)OC(=N3)C4=CC=CC=C4,Active,64,,,=,0.44,6.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64,,=,0.44,6.357,1.703,-1.814,-53.284,15,-56.594,2.85,26,-0.693,0.669,-11.8,-17.182,-41.153,-56.594,-53.661,-48.385
839,51085517,3437864,COC1=CC=CC=C1N2C(=NNC2=S)CNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.25863,1.25863,16,-9.612,26,26,5.65,3.443,4.817,4.951,3.763,3.605,-6.548,-9.612
840,85270718,4843707,CCCCN1C(=C(C(=O)NC1=O)N(CCC(C)C)C(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-])N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.15773,3.15773,16,-8.55,26,26,1.926,7.036,6.117,8.272,6.94,6.018,-2.498,-8.55
